filename,activity_label
1_20260921020139.csv,0
2_20260921015953.csv,0
2_20260921020149.csv,0
3_20260921020003.csv,0
3_20260921020159.csv,0
4_20260921020209.csv,0
5_20260921020219.csv,0
6_20260921020229.csv,0
7_20260921020239.csv,0
8_20260921020249.csv,0
9_20260921020259.csv,0
10_20260921020309.csv,0
11_20260921020319.csv,0
12_20260921020329.csv,0
13_20260921020339.csv,0
14_20260921020349.csv,0
15_20260921020359.csv,0
16_20260921020409.csv,0
17_20260921020419.csv,0
18_20260921020429.csv,0
19_20260921020439.csv,0
20_20260921020449.csv,0
21_20260921020459.csv,0
22_20260921020509.csv,0
23_20260921020519.csv,0
24_20260921020529.csv,0
25_20260921020539.csv,0
26_20260921020549.csv,0
27_20260921020559.csv,0
28_20260921020609.csv,0
29_20260921020619.csv,0
30_20260921020629.csv,0
31_20260921020639.csv,0
32_20260921020649.csv,0
33_20260921020659.csv,1
34_20260921020709.csv,1
35_20260921020719.csv,1
36_20260921020729.csv,1
37_20260921020739.csv,1
38_20260921020749.csv,1
39_20260921020759.csv,1
40_20260921020809.csv,1
41_20260921020819.csv,1
42_20260921020829.csv,1
43_20260921020839.csv,1
44_20260921020849.csv,1
45_20260921020859.csv,1
46_20260921020909.csv,1
47_20260921020919.csv,1
48_20260921020929.csv,1
49_20260921020939.csv,1
50_20260921020949.csv,1
51_20260921020959.csv,1
52_20260921021009.csv,1
53_20260921021019.csv,1
54_20260921021029.csv,1
55_20260921021039.csv,1
56_20260921021049.csv,1
57_20260921021059.csv,1
58_20260921021109.csv,1
59_20260921021119.csv,1
60_20260921021129.csv,1
61_20260921021139.csv,1
62_20260921021149.csv,1
63_20260921021159.csv,1
64_20260921021209.csv,1
65_20260921021219.csv,1
66_20260921021229.csv,1
67_20260921021239.csv,1
69_20260921021259.csv,2
70_20260921021309.csv,2
71_20260921021319.csv,2
72_20260921021329.csv,2
73_20260921021339.csv,2
74_20260921021349.csv,2
75_20260921021359.csv,2
76_20260921021409.csv,2
77_20260921021419.csv,2
78_20260921021429.csv,2
79_20260921021439.csv,2
80_20260921021449.csv,2
81_20260921021459.csv,2
82_20260921021509.csv,2
83_20260921021519.csv,2
84_20260921021529.csv,2
85_20260921021539.csv,2
86_20260921021549.csv,2
87_20260921021559.csv,2
88_20260921021609.csv,2
89_20260921021619.csv,2
90_20260921021629.csv,2
91_20260921021639.csv,2
92_20260921021649.csv,2
93_20260921021659.csv,2
94_20260921021709.csv,2
95_20260921021719.csv,2
96_20260921021729.csv,2
97_20260921021739.csv,2
98_20260921021749.csv,2
99_20260921021759.csv,2
100_20260921021809.csv,2
101_20260921021819.csv,2
102_20260921021829.csv,2
103_20260921021839.csv,2
104_20260921021849.csv,2
105_20260921021859.csv,2
106_20260921021909.csv,2
107_20260921021919.csv,2
108_20260921021929.csv,2
109_20260921021939.csv,2
110_20260921021949.csv,2
111_20260921021959.csv,2
112_20260921022009.csv,2
113_20260921022019.csv,2
114_20260921022029.csv,2
115_20260921022039.csv,2
116_20260921022049.csv,2
117_20260921022059.csv,2
118_20260921022109.csv,2
119_20260921022119.csv,2
120_20260921022129.csv,2
121_20260921022139.csv,2
122_20260921022149.csv,2
123_20260921022159.csv,2
124_20260921022209.csv,2
125_20260921022219.csv,2
126_20260921022229.csv,2
127_20260921022239.csv,2
128_20260921022249.csv,2
129_20260921022259.csv,2
131_20260921022319.csv,0
132_20260921022329.csv,0
133_20260921022339.csv,0
134_20260921022349.csv,0
135_20260921022359.csv,0
136_20260921022409.csv,0
137_20260921022419.csv,0
138_20260921022429.csv,0
157_20260921022903.csv,0
158_20260921022913.csv,0
159_20260921022923.csv,0
160_20260921022933.csv,0
161_20260921022943.csv,0
162_20260921022953.csv,0
163_20260921023003.csv,0
164_20260921023013.csv,0
165_20260921023023.csv,0
166_20260921023033.csv,0
167_20260921023043.csv,0
168_20260921023053.csv,0
169_20260921023103.csv,0
170_20260921023113.csv,0
171_20260921023123.csv,0
172_20260921023133.csv,0
173_20260921023143.csv,0
174_20260921023153.csv,0
175_20260921023203.csv,0
176_20260921023213.csv,0
177_20260921023223.csv,0
178_20260921023233.csv,0
179_20260921023243.csv,0
180_20260921023253.csv,0
181_20260921023303.csv,0
182_20260921023313.csv,0
183_20260921023323.csv,0
184_20260921023333.csv,0
185_20260921023343.csv,0
186_20260921023353.csv,0
187_20260921023403.csv,0
188_20260921023413.csv,0
189_20260921023423.csv,0
191_20260921023443.csv,1
192_20260921023453.csv,1
193_20260921023503.csv,1
194_20260921023513.csv,1
195_20260921023523.csv,1
196_20260921023533.csv,1
197_20260921023543.csv,1
198_20260921023553.csv,1
199_20260921023603.csv,1
200_20260921023613.csv,1
201_20260921023623.csv,1
202_20260921023633.csv,1
203_20260921023643.csv,1
204_20260921023653.csv,1
205_20260921023703.csv,1
206_20260921023713.csv,1
207_20260921023723.csv,1
208_20260921023733.csv,1
209_20260921023743.csv,1
210_20260921023753.csv,1
211_20260921023803.csv,1
212_20260921023813.csv,1
213_20260921023823.csv,1
214_20260921023833.csv,1
215_20260921023843.csv,1
216_20260921023853.csv,1
217_20260921023903.csv,1
218_20260921023913.csv,1
219_20260921023923.csv,1
220_20260921023933.csv,1
221_20260921023943.csv,1
